model_label,model,model_name,endpoint,provider_name,parsed_percent,seconds,reasoning_tokens,cost
claude-sonnet-5,anthropic/claude-sonnet-5,Anthropic: Claude Sonnet 5,google-vertex/europe,Google,95,1.560338999988744,0,0.000847
claude-sonnet-5,anthropic/claude-sonnet-5,Anthropic: Claude Sonnet 5,google-vertex/europe,Google,95,1.6179034999804571,0,0.000902
claude-sonnet-5,anthropic/claude-sonnet-5,Anthropic: Claude Sonnet 5,google-vertex/europe,Google,95,1.6215315000154078,0,0.000968
claude-sonnet-5,anthropic/claude-sonnet-5,Anthropic: Claude Sonnet 5,google-vertex/europe,Google,95,1.635547099984251,0,0.000869
claude-sonnet-5,anthropic/claude-sonnet-5,Anthropic: Claude Sonnet 5,google-vertex/europe,Google,95,1.7581496999773663,0,0.000737
claude-sonnet-5,anthropic/claude-sonnet-5,Anthropic: Claude Sonnet 5,google-vertex/europe,Google,95,1.8154358000028878,0,0.001188
claude-sonnet-5,anthropic/claude-sonnet-5,Anthropic: Claude Sonnet 5,google-vertex/europe,Google,95,1.9091838000167627,0,0.000781
claude-sonnet-5,anthropic/claude-sonnet-5,Anthropic: Claude Sonnet 5,google-vertex/europe,Google,95,2.0099947999988217,0,0.001375
claude-sonnet-5,anthropic/claude-sonnet-5,Anthropic: Claude Sonnet 5,google-vertex/europe,Google,95,2.0749261000019033,0,0.00088
claude-sonnet-5,anthropic/claude-sonnet-5,Anthropic: Claude Sonnet 5,google-vertex/europe,Google,95,2.245832699991297,0,0.001375
claude-sonnet-5,anthropic/claude-sonnet-5,Anthropic: Claude Sonnet 5,google-vertex/europe,Google,95,2.302494300005492,0,0.001452
claude-sonnet-5,anthropic/claude-sonnet-5,Anthropic: Claude Sonnet 5,google-vertex/europe,Google,95,2.446075599989854,0,0.001122
claude-sonnet-5,anthropic/claude-sonnet-5,Anthropic: Claude Sonnet 5,google-vertex/europe,Google,95,2.490106699988246,0,0.001012
claude-sonnet-5,anthropic/claude-sonnet-5,Anthropic: Claude Sonnet 5,google-vertex/europe,Google,95,2.6682698000222445,0,0.000759
claude-sonnet-5,anthropic/claude-sonnet-5,Anthropic: Claude Sonnet 5,google-vertex/europe,Google,95,2.6890706999984104,0,0.001419
claude-sonnet-5,anthropic/claude-sonnet-5,Anthropic: Claude Sonnet 5,google-vertex/europe,Google,95,2.9603475999902003,0,0.000858
claude-sonnet-5,anthropic/claude-sonnet-5,Anthropic: Claude Sonnet 5,google-vertex/europe,Google,97,1.718665799999144,0,0.001265
deepseek-v4-flash,deepseek/deepseek-v4-flash,DeepSeek: DeepSeek V4 Flash,deepinfra/fp4,DeepInfra,0,0.987592899997253,0,2.268e-06
deepseek-v4-flash,deepseek/deepseek-v4-flash,DeepSeek: DeepSeek V4 Flash,deepinfra/fp4,DeepInfra,0,1.043083700002171,0,2.268e-06
deepseek-v4-flash,deepseek/deepseek-v4-flash,DeepSeek: DeepSeek V4 Flash,deepinfra/fp4,DeepInfra,0,1.0535141000000294,0,2.268e-06
